session_name,ID,trial_round,time_end,total_distance,mean_velocity,incorrect_entries,time_to_decision_zone_1,time_to_correct_zone_1,time_to_incorrect_zone_1,time_to_decision_zone_2,time_to_incorrect_zone_2,time_to_correct_zone_2,group,tank,frame_rate,pixels_per_cm,cam,batch,day,link,orientation,jar_ID,treatment,sex,Notes,std_length,unique_id,tanks3&4_release,tanks1&2_release,start,wrong_start,missing_fish
cam1-b2-d2-t1_edit_tank3,cam1-b2-d2 3,1,15.32,44.161973745113784,2.882635361952597,1,50.78,11.14,6.68,12.799999999999999,NA,19.92,cam1-b2-d2,3,50,17.0290144190932,1,2,2,1-2-3,L,122,h,F,NA,17.346317021854187,cam1-b2-d2-t1,2538,2647,2768,NA,NA
cam1-b2-d2-t1_edit_tank4,cam1-b2-d2 4,1,354.04,556.5974993236417,1.5721316781257533,8,60.54,18.34,43.2,19.759999999999998,21.759999999999998,358.64000000000004,cam1-b2-d2,4,50,17.0290144190932,1,2,2,1-2-4,L,34,h,M,NA,14.713817757018594,cam1-b2-d2-t1,2538,2647,2768,NA,NA
cam1-b2-d2-t2_edit_tank1,cam1-b2-d2 1,2,13.86,44.92047604248212,3.2410155874806725,0,5.18,2.2600000000000002,NA,12.56,NA,16.1,cam1-b2-d2,1,50,17.0290144190932,1,2,2,1-2-1,R,32,h,M,NA,18.451336165949794,cam1-b2-d2-t2,3380,3516,3628,NA,NA
cam1-b2-d2-t2_edit_tank2,cam1-b2-d2 2,2,36.66,63.99686777716637,1.7456865187443094,1,7.220000000000001,28.5,9.3,30.64,NA,38.9,cam1-b2-d2,2,50,17.0290144190932,1,2,2,1-2-2,R,33,h,F,NA,16.169064982660988,cam1-b2-d2-t2,3380,3516,3628,NA,NA
cam1-b2-d2-t2_edit_tank3,cam1-b2-d2 3,2,67.5,132.27011835950935,1.9595573090297682,3,68.24,64.25999999999999,4.9799999999999995,67.11999999999999,NA,72.46,cam1-b2-d2,3,50,17.0290144190932,1,2,2,1-2-3,L,122,h,F,NA,17.346317021854187,cam1-b2-d2-t2,3380,3516,3628,NA,NA
cam1-b2-d2-t2_edit_tank4,cam1-b2-d2 4,2,63.6,175.92207832766175,2.7660704139569456,4,74.14,12.879999999999999,42.22,14.18,15.620000000000001,68.56,cam1-b2-d2,4,50,17.0290144190932,1,2,2,1-2-4,L,34,h,M,NA,14.713817757018594,cam1-b2-d2-t2,3380,3516,3628,NA,NA
cam1-b2-d2-t3_edit_tank1,cam1-b2-d2 1,3,15.32,40.69825426963795,2.6565440123784563,0,2.9400000000000004,4.68,NA,11.799999999999999,NA,17.5,cam1-b2-d2,1,50,17.0290144190932,1,2,2,1-2-1,R,32,h,M,NA,18.451336165949794,cam1-b2-d2-t3,2526,2662,2771,NA,NA
cam1-b2-d2-t3_edit_tank2,cam1-b2-d2 2,3,112.48,151.5331970517325,1.3472012540161138,2,4.08,8.36,13.219999999999999,107.4,NA,114.66000000000001,cam1-b2-d2,2,50,17.0290144190932,1,2,2,1-2-2,R,33,h,F,NA,16.169064982660988,cam1-b2-d2-t3,2526,2662,2771,NA,NA
cam1-b2-d2-t3_edit_tank3,cam1-b2-d2 3,3,18,51.955660806393745,2.8864256003552082,1,51.540000000000006,15.88,7.5600000000000005,17.48,NA,22.9,cam1-b2-d2,3,50,17.0290144190932,1,2,2,1-2-3,L,122,h,F,NA,17.346317021854187,cam1-b2-d2-t3,2526,2662,2771,NA,NA
cam1-b2-d2-t3_edit_tank4,cam1-b2-d2 4,3,115.56,298.82970716271035,2.585926853259868,5,52.800000000000004,16.84,31.4,18.58,19.880000000000003,120.46000000000001,cam1-b2-d2,4,50,17.0290144190932,1,2,2,1-2-4,L,34,h,M,NA,14.713817757018594,cam1-b2-d2-t3,2526,2662,2771,NA,NA
cam1-b2-d3-t1_edit_tank1,cam1-b2-d3 1,1,14.18,41.425343663474344,2.921392359906512,0,2.74,5.96,NA,10.4,NA,15.86,cam1-b2-d3,1,50,17.0290144190932,1,2,3,1-2-1,R,32,h,M,NA,18.451336165949794,cam1-b2-d3-t1,2319,2435,2519,NA,NA
